Question,AgeGroup,n,mean,median,std
I can rely on the highly automated vehicle.,50-65,6,4.166666666666667,4.0,1.4719601443879744
I can rely on the highly automated vehicle.,66-80,6,3.6666666666666665,4.0,0.5163977794943222
I trust the highly automated vehicle.,18-33,6,4.0,4.0,0.0
I trust the highly automated vehicle.,34-49,6,3.3333333333333335,3.0,0.5163977794943222
I trust the highly automated vehicle.,50-65,6,4.0,4.0,1.0954451150103321
I trust the highly automated vehicle.,66-80,6,3.6666666666666665,4.0,0.5163977794943222
I was able to understand why things happened.,18-33,6,4.0,4.0,0.0
I was able to understand why things happened.,34-49,6,3.8333333333333335,4.0,0.408248290463863
I was able to understand why things happened.,50-65,6,5.0,4.0,2.449489742783178
I was able to understand why things happened.,66-80,6,3.8333333333333335,4.0,0.408248290463863
It’s difficult to identify what the system will do next.,18-33,6,3.1666666666666665,3.0,0.4082482904638631
It’s difficult to identify what the system will do next.,34-49,6,3.0,3.0,0.6324555320336759
It’s difficult to identify what the system will do next.,50-65,6,4.333333333333333,3.0,3.32665998663324
It’s difficult to identify what the system will do next.,66-80,6,2.8333333333333335,3.0,0.752772652709081
The system reacts unpredictably.,18-33,6,2.0,2.0,0.0
The system reacts unpredictably.,34-49,6,2.1666666666666665,2.0,0.408248290463863
The system reacts unpredictably.,50-65,6,3.1666666666666665,2.0,2.857738033247041
The system reacts unpredictably.,66-80,6,1.8333333333333333,2.0,0.408248290463863
The system state was always clear to me.,18-33,6,2.6666666666666665,3.0,0.5163977794943222
The system state was always clear to me.,34-49,6,2.3333333333333335,2.0,0.5163977794943222
The system state was always clear to me.,50-65,6,3.6666666666666665,3.0,2.1602468994692865
The system state was always clear to me.,66-80,6,2.6666666666666665,3.0,0.5163977794943222
agitated – calm,18-33,6,-0.16666666666666666,0.0,1.3291601358251257
agitated – calm,34-49,6,-0.3333333333333333,-1.0,1.8618986725025255
agitated – calm,50-65,6,0.6666666666666666,1.0,1.505545305418162
agitated – calm,66-80,6,0.5,1.5,1.9748417658131499
anxious – relaxed,18-33,6,0.16666666666666666,0.5,2.0412414523193148
anxious – relaxed,34-49,6,-0.5,-1.5,1.97484176581315
anxious – relaxed,50-65,6,0.16666666666666666,0.0,1.7224014243685084
anxious – relaxed,66-80,6,0.8333333333333334,2.0,1.834847859269718
assisting – worthless,18-33,6,4.666666666666667,6.0,2.0655911179772892
assisting – worthless,34-49,6,5.333333333333333,6.0,1.632993161855452
assisting – worthless,50-65,6,8.0,6.0,4.898979485566356
assisting – worthless,66-80,6,6.0,6.0,0.0
bad – good,18-33,6,2.8333333333333335,2.5,0.983192080250175
bad – good,34-49,6,3.1666666666666665,3.0,1.1690451944500122
bad – good,50-65,6,5.166666666666667,4.0,4.535048695071164
bad – good,66-80,6,4.0,4.0,0.8944271909999159
effective – superfluous,18-33,6,5.833333333333333,6.0,0.40824829046386296
effective – superfluous,34-49,6,5.333333333333333,6.0,1.632993161855452
effective – superfluous,50-65,6,7.666666666666667,6.0,4.0824829046386295
effective – superfluous,66-80,6,6.0,6.0,0.0
irritating – likeable,18-33,6,3.6666666666666665,3.5,0.816496580927726
irritating – likeable,34-49,6,4.333333333333333,4.0,1.0327955589886446
irritating – likeable,50-65,6,6.666666666666667,5.0,5.08592829940284
irritating – likeable,66-80,6,4.166666666666667,4.5,0.983192080250175
nice – annoying,18-33,6,3.5,3.5,1.378404875209022
nice – annoying,34-49,6,3.6666666666666665,3.5,0.816496580927726
nice – annoying,50-65,6,5.0,3.0,4.9396356140913875
nice – annoying,66-80,6,3.1666666666666665,3.0,0.7527726527090811
pleasant – unpleasant,18-33,6,3.1666666666666665,3.0,1.4719601443879744
pleasant – unpleasant,34-49,6,3.5,3.0,1.6431676725154984
pleasant – unpleasant,50-65,6,4.333333333333333,3.0,4.273952113286562
pleasant – unpleasant,66-80,6,3.6666666666666665,3.5,1.2110601416389966
raising alertness – sleep-inducing,18-33,6,5.333333333333333,6.0,1.632993161855452
raising alertness – sleep-inducing,34-49,6,4.833333333333333,6.0,1.8348478592697182
raising alertness – sleep-inducing,50-65,6,8.333333333333334,6.0,5.750362307426087
raising alertness – sleep-inducing,66-80,6,6.0,6.0,0.0
timid – confident,18-33,6,0.3333333333333333,1.0,1.0327955589886444
timid – confident,34-49,6,0.16666666666666666,1.0,1.3291601358251257
timid – confident,50-65,6,0.6666666666666666,0.0,2.3380903889000244
timid – confident,66-80,6,0.3333333333333333,1.0,1.5055453054181618
undesirable – desirable,18-33,6,4.166666666666667,4.5,1.8348478592697182
undesirable – desirable,34-49,6,5.333333333333333,6.0,1.632993161855452
undesirable – desirable,50-65,6,8.166666666666666,6.0,5.307227776030219
undesirable – desirable,66-80,6,6.0,6.0,0.0
unsafe – safe,18-33,6,-1.1666666666666667,-2.0,1.6020819787597222
unsafe – safe,34-49,6,-1.8333333333333333,-2.0,0.752772652709081
unsafe – safe,50-65,6,0.0,-1.0,2.449489742783178
unsafe – safe,66-80,6,-1.6666666666666667,-1.5,1.2110601416389968
useful – useless,18-33,6,5.666666666666667,6.0,1.3662601021279466
useful – useless,34-49,6,6.0,6.0,0.0
useful – useless,50-65,6,7.0,6.0,2.449489742783178
useful – useless,66-80,6,5.666666666666667,6.0,0.5163977794943224
